config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
512x64,512,64,fc_512_512,fc,512,512,0,0,0,0,1,8,8,True,291.401,25,25,1.399375,716.93,657.81,996756.6348965234,1520195801.2191973,659950.4602929375,339.5898,308.0278,0,0,10.197,8,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_512_512
1024x128,1024,128,fc_512_512,fc,512,512,0,0,0,0,1,4,4,True,312.747,26,26,1.513564,668.68,747.65,988054.4459362042,1337524242.6268976,756689.0701975279,450.4497,287.0039,0,0,10.197,8,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_512_512
128x128,128,128,fc_512_128,fc,512,128,0,0,0,0,4,1,4,False,159.479,24,24,1.289664,881.59,971.72,879542.3745697244,1029103033.7957436,1104801.8015907072,324.617,550.4875,32.6337,57.6,6.3854999999999995,19,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/fc_512_128
128x256,128,256,fc_256_512,fc,256,512,0,0,0,0,2,2,4,False,248.209,26,26,1.513564,767.43,1406.13,860915.3237541157,711171797.7711875,1633296.5173257876,417.1452,707.3974,43.5116,230.4,7.672499999999999,12,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_256_512
128x256,128,256,fc_512_128,fc,512,128,0,0,0,0,4,1,4,False,169.346,26,26,1.513564,830.8,1744.85,795248.2509733042,573115167.4929078,2194094.73439832,611.4062,1036.8264,32.6337,57.6,6.3854999999999995,19,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_512_128
256x256,256,256,fc_512_512,fc,512,512,0,0,0,0,2,2,4,False,266.614,26,26,1.513564,906.43,1409.64,728894.9471096732,709400981.8109587,1933941.2429592528,466.9642,658.5641,43.5116,230.4,10.197,12,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x256/fc_512_512
1024x256,1024,256,fc_2048_256,fc,2048,256,0,0,0,0,2,1,2,False,242.612,18,18,0.725436,1984.35,1068.74,694676.5211082707,935681269.5323465,1538471.457614484,543.5774,365.3356,21.7558,115.2,22.869,16,0,6,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_2048_256
256x128,256,128,fc_512_512,fc,512,512,0,0,0,0,2,4,8,False,250.853,26,26,1.513564,962.75,1500.53,686255.2551634599,666431194.3113433,2186547.91888273,514.239,702.1834,43.5116,230.4,10.197,14,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_512_512
256x64,256,64,fc_512_512,fc,512,512,0,0,0,0,2,8,16,False,237.431,26,26,1.513564,1016.61,1611.93,649897.4502598057,620374333.873059,2480283.6191396173,581.208,746.6152,43.5116,230.4,10.197,14,0,4,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x64/fc_512_512
1024x64,1024,64,fc_256_512,fc,256,512,0,0,0,0,1,8,8,True,279.19,40,40,3.5824,565.18,906.28,493900.1279572745,1103411749.1283047,1834945.8700249596,569.0519,329.5576,0,0,7.672499999999999,7,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_256_512
