config,d_pct,c_pct,workload,P,fmax_mhz,eff_latency_ns,dpe_area_pct,fmax_seed1,fmax_seed2,fmax_seed3,status
1024x64,0,60,fc_512_512,6,nan,inf,27.0,nan,nan,nan,FAILED
1024x64,20,0,fc_2048_256,1,nan,inf,4.5,nan,nan,nan,FAILED
1024x64,20,0,fc_512_128,4,nan,inf,4.5,nan,nan,nan,FAILED
1024x64,20,0,fc_512_512,1,nan,inf,4.5,nan,nan,nan,FAILED
1024x64,20,20,fc_2048_256,1,nan,inf,4.5,nan,nan,nan,FAILED
1024x64,20,20,fc_512_128,4,nan,inf,4.5,nan,nan,nan,FAILED
1024x64,20,20,fc_512_512,1,nan,inf,4.5,nan,nan,nan,FAILED
1024x64,20,40,fc_2048_256,4,nan,inf,18.0,nan,nan,nan,FAILED
1024x64,20,40,fc_512_128,7,133.50933333333333,1.0700161501104257,18.0,136.566,126.917,137.045,OK
1024x64,20,40,fc_512_512,4,nan,inf,18.0,nan,nan,nan,FAILED
1024x64,20,60,fc_2048_256,7,nan,inf,31.5,nan,nan,nan,FAILED
1024x64,20,60,fc_512_128,7,127.79200000000002,1.117887996565848,31.5,127.072,127.385,128.919,OK
1024x64,20,60,fc_512_512,7,nan,inf,31.5,nan,nan,nan,FAILED
1024x64,40,0,fc_2048_256,2,nan,inf,9.0,nan,nan,nan,FAILED
1024x64,40,0,fc_512_128,7,132.76733333333334,1.0759961751922624,9.0,129.776,133.421,135.105,OK
1024x64,40,0,fc_512_512,2,nan,inf,9.0,nan,nan,nan,FAILED
1024x64,40,20,fc_2048_256,2,nan,inf,9.0,nan,nan,nan,FAILED
1024x64,40,20,fc_512_128,7,132.76733333333334,1.0759961751922624,9.0,129.776,133.421,135.105,OK
1024x64,40,20,fc_512_512,2,nan,inf,9.0,nan,nan,nan,FAILED
1024x64,40,40,fc_2048_256,5,nan,inf,22.5,nan,nan,nan,FAILED
1024x64,40,40,fc_512_128,7,132.602,1.0773377690920412,22.5,128.755,135.567,133.484,OK
1024x64,40,40,fc_512_512,5,nan,inf,22.5,nan,nan,nan,FAILED
1024x64,40,60,fc_2048_256,7,nan,inf,36.0,nan,nan,nan,FAILED
1024x64,40,60,fc_512_128,7,132.86766666666665,1.0751836503273398,36.0,130.384,137.531,130.688,OK
1024x64,40,60,fc_512_512,7,135.38266666666667,1.0552099938235042,36.0,140.939,130.414,134.795,OK
1024x64,60,0,fc_2048_256,2,nan,inf,9.0,nan,nan,nan,FAILED
1024x64,60,0,fc_512_128,7,132.76733333333334,1.0759961751922624,9.0,129.776,133.421,135.105,OK
1024x64,60,0,fc_512_512,2,nan,inf,9.0,nan,nan,nan,FAILED
1024x64,60,20,fc_2048_256,2,nan,inf,9.0,nan,nan,nan,FAILED
1024x64,60,20,fc_512_128,7,132.76733333333334,1.0759961751922624,9.0,129.776,133.421,135.105,OK
1024x64,60,20,fc_512_512,2,nan,inf,9.0,nan,nan,nan,FAILED
1024x64,60,40,fc_2048_256,5,nan,inf,22.5,nan,nan,nan,FAILED
1024x64,60,40,fc_512_128,7,132.602,1.0773377690920412,22.5,128.755,135.567,133.484,OK
1024x64,60,40,fc_512_512,5,nan,inf,22.5,nan,nan,nan,FAILED
1024x64,60,60,fc_2048_256,7,nan,inf,36.0,nan,nan,nan,FAILED
1024x64,60,60,fc_512_128,7,132.86766666666665,1.0751836503273398,36.0,130.384,137.531,130.688,OK
1024x64,60,60,fc_512_512,7,135.38266666666667,1.0552099938235042,36.0,140.939,130.414,134.795,OK
1024x64,80,0,fc_2048_256,3,nan,inf,13.5,nan,nan,nan,FAILED
1024x64,80,0,fc_512_128,3,139.757,2.3850922195906703,13.5,134.324,141.273,143.674,OK
1024x64,80,0,fc_512_512,3,nan,inf,13.5,nan,nan,nan,FAILED
1024x64,80,20,fc_2048_256,3,nan,inf,13.5,nan,nan,nan,FAILED
1024x64,80,20,fc_512_128,3,139.757,2.3850922195906703,13.5,134.324,141.273,143.674,OK
1024x64,80,20,fc_512_512,3,nan,inf,13.5,nan,nan,nan,FAILED
1024x64,80,40,fc_2048_256,3,118.99000000000001,2.801355856234417,27.0,117.26,124.229,115.481,OK
1024x64,80,40,fc_512_128,3,132.32066666666665,2.519132813720205,27.0,127.175,140.734,129.053,OK
1024x64,80,40,fc_512_512,3,137.93533333333335,2.4165913495696048,27.0,137.711,138.702,137.393,OK
1024x64,80,60,fc_2048_256,3,125.12733333333334,2.6639529865576934,40.5,124.625,122.995,127.762,OK
1024x64,80,60,fc_512_128,3,121.61566666666666,2.740874942099017,40.5,122.58,118.904,123.363,OK
1024x64,80,60,fc_512_512,3,134.14666666666668,2.484842460987973,40.5,126.269,145.633,130.538,OK
512x128,0,40,fc_2048_256,3,135.45366666666666,2.4608660772072124,18.666666666666668,138.702,132.671,134.988,OK (cached)
