tg,budget_pct,benchmark,fmax_mhz,fmax_seed1,fmax_seed2,fmax_seed3,clb,dsp_top,memory,status
128x64,20,stereovision1,184.788,178.139,186.292,189.933,519,40,0,OK
128x64,30,LU8PEEng,12.077366666666668,12.1424,12.1259,11.9638,1676,8,74,OK
128x64,30,arm_core,44.411566666666666,45.5748,42.9327,44.7272,662,0,42,OK
128x64,30,bgm,50.97356666666667,52.7923,50.8588,49.2696,2089,11,0,OK
128x64,30,stereovision1,189.10566666666668,189.933,188.729,188.655,519,40,0,OK
128x64,35,LU8PEEng,12.019633333333333,11.7215,12.1014,12.236,1676,8,74,OK
128x64,35,arm_core,44.20046666666667,45.5748,43.5133,43.5133,662,0,42,OK
128x64,35,bgm,nan,nan,nan,nan,0,0,0,FAILED
128x64,35,stereovision1,188.29333333333332,189.933,186.292,188.655,519,40,0,OK
128x64,40,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
128x64,40,arm_core,44.1917,44.443,45.5792,42.5529,662,0,42,OK
128x64,40,bgm,nan,nan,nan,nan,0,0,0,FAILED
128x64,40,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
128x64,50,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
128x64,50,arm_core,44.1917,44.443,45.5792,42.5529,662,0,42,OK
128x64,50,bgm,nan,nan,nan,nan,0,0,0,FAILED
128x64,50,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
512x128,0,LU8PEEng,12.451,12.4644,12.5693,12.3193,1676,8,74,OK
512x128,0,arm_core,46.466633333333334,46.4596,44.8575,48.0828,662,0,42,OK
512x128,0,bgm,54.38216666666667,55.4408,54.7636,52.9421,2089,11,0,OK
512x128,0,stereovision1,183.9093333333333,182.718,182.718,186.292,519,40,0,OK
512x128,10,LU8PEEng,12.517633333333334,12.5388,12.6751,12.339,1676,8,74,OK
512x128,10,arm_core,47.290866666666666,46.5957,48.8173,46.4596,662,0,42,OK
512x128,10,bgm,53.96526666666667,54.6504,54.854,52.3914,2089,11,0,OK
