dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_need,clbs_avail,clb_util_pct,fmax_mhz,fmax_baseline_mhz,gain,utilization,energy_pj,energy_baseline_pj,energy_ratio,tpj_scaling,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,run_dir
1.0,0.6,512x256,fc_2048_256,31,126,4,1,4,960,4391,21.9,141.65266666666665,135.24833333333333,32.4679,1.0474,2653.44,2769.45,1.0437,1.0931,120,120,602,0,186,124,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c60/fc_2048_256
0.2,0.0,512x256,fc_512_128,9,9,1,1,1,300,10978,2.7,227.35833333333335,227.35833333333335,9.0,1.0,388.01,388.01,1.0,1.0,120,120,84,0,36,9,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d20_c0/fc_512_128
0.2,0.2,512x256,fc_512_128,27,27,1,1,1,840,8782,9.6,146.168,227.35833333333335,17.3582,0.6429,599.99,388.01,0.6467,0.4158,120,120,272,0,108,27,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d20_c20/fc_512_128
0.2,0.4,512x256,fc_512_128,54,54,1,1,1,1650,6586,25.1,142.41966666666667,227.35833333333335,33.8262,0.6264,615.61,388.01,0.6303,0.3948,120,120,493,0,216,54,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d20_c40/fc_512_128
0.2,0.6,512x256,fc_512_128,90,90,1,1,1,2730,4391,62.2,93.39523333333334,227.35833333333335,36.9706,0.4108,935.4,388.01,0.4148,0.1704,120,120,923,0,360,90,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d20_c60/fc_512_128
0.4,0.0,512x256,fc_512_128,18,18,1,1,1,570,10978,5.2,176.564,227.35833333333335,13.9786,0.7766,497.8,388.01,0.7794,0.6053,120,120,182,0,72,18,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c0/fc_512_128
0.4,0.2,512x256,fc_512_128,36,36,1,1,1,1110,8782,12.6,146.688,227.35833333333335,23.2266,0.6452,597.88,388.01,0.649,0.4187,120,120,331,0,144,36,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c20/fc_512_128
0.4,0.4,512x256,fc_512_128,54,54,1,1,1,1650,6586,25.1,143.839,227.35833333333335,34.1633,0.6327,609.6,388.01,0.6365,0.4027,120,120,493,0,216,54,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c40/fc_512_128
0.4,0.6,512x256,fc_512_128,99,99,1,1,1,3000,4391,68.3,94.48290000000001,227.35833333333335,41.1413,0.4156,924.71,388.01,0.4196,0.1744,120,120,983,0,396,99,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c60/fc_512_128
0.6,0.0,512x256,fc_512_128,36,36,1,1,1,1110,10978,10.1,178.289,227.35833333333335,28.2303,0.7842,493.04,388.01,0.787,0.6171,120,120,331,0,144,36,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c0/fc_512_128
