dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_avail,dsps_avail,p_dpe,p_clb,p_bram,p_dsp,limit,fmax_mhz,fmax_baseline_mhz,gain,utilization,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,run_dir
0.2,0.0,1024x64,fc_2048_256,2,19,2,4,8,10978,174,2,117,29,43,dpe,137.5243,137.5243,2.0,1.0,120,120,202,8,36,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c0/fc_2048_256
0.2,0.2,1024x64,fc_2048_256,9,76,2,4,8,8782,174,9,94,29,43,dpe,127.7587,137.5243,8.3609,0.929,120,120,901,36,162,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c20/fc_2048_256
0.2,0.4,1024x64,fc_2048_256,23,190,2,4,8,6586,174,23,70,29,43,dpe,111.5753,137.5243,18.6602,0.8113,120,120,2286,92,414,184,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d20_c40/fc_2048_256
0.4,0.0,1024x64,fc_2048_256,4,38,2,4,8,10978,145,4,117,29,36,dpe,137.8337,137.5243,4.009,1.0022,120,120,399,16,72,32,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c0/fc_2048_256
0.4,0.2,1024x64,fc_2048_256,11,95,2,4,8,8782,145,11,94,29,36,dpe,126.0043,137.5243,10.0786,0.9162,120,120,1088,44,198,88,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c20/fc_2048_256
0.4,0.4,1024x64,fc_2048_256,26,209,2,4,8,6586,145,26,70,29,36,dpe,129.4557,137.5243,24.4746,0.9413,120,120,2640,104,468,208,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d40_c40/fc_2048_256
0.6,0.0,1024x64,fc_2048_256,9,76,2,4,8,10978,87,9,117,29,21,dpe,133.1517,137.5243,8.7138,0.9682,120,120,901,36,162,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c0/fc_2048_256
0.6,0.2,1024x64,fc_2048_256,16,133,2,4,8,8782,87,16,94,29,21,dpe,120.6017,137.5243,14.0312,0.8769,120,120,1592,64,288,128,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c20/fc_2048_256
0.6,0.4,1024x64,fc_2048_256,21,228,2,4,8,6586,87,28,70,29,21,dsp,118.365,137.5243,18.0744,0.8607,120,120,2117,84,378,168,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c40/fc_2048_256
0.6,0.6,1024x64,fc_2048_256,21,342,2,4,8,4391,87,42,47,29,21,dsp,120.1617,137.5243,18.3487,0.8737,120,120,2117,84,378,168,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d60_c60/fc_2048_256
0.8,0.0,1024x64,fc_2048_256,11,95,2,4,8,10978,58,11,117,29,14,dpe,124.289,137.5243,9.9414,0.9038,120,120,1088,44,198,88,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c0/fc_2048_256
0.8,0.2,1024x64,fc_2048_256,14,152,2,4,8,8782,58,19,94,29,14,dsp,132.0023,137.5243,13.4379,0.9598,120,120,1417,56,252,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c20/fc_2048_256
0.8,0.4,1024x64,fc_2048_256,14,247,2,4,8,6586,58,30,70,29,14,dsp,129.6747,137.5243,13.2009,0.9429,120,120,1417,56,252,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c40/fc_2048_256
0.8,0.6,1024x64,fc_2048_256,14,361,2,4,8,4391,58,45,47,29,14,dsp,123.3133,137.5243,12.5533,0.8967,120,120,1417,56,252,112,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x64/d80_c60/fc_2048_256
0.2,0.0,1024x256,fc_512_128,13,13,1,1,1,10978,174,13,117,29,43,dpe,129.6137,129.6137,13.0,1.0,120,120,1199,52,208,13,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c0/fc_512_128
0.2,0.2,1024x256,fc_512_128,13,13,1,1,1,8782,174,13,94,29,43,dpe,129.6137,129.6137,13.0,1.0,120,120,1199,52,208,13,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c20/fc_512_128
0.2,0.4,1024x256,fc_512_128,13,13,1,1,1,6586,174,13,70,29,43,dpe,129.6137,129.6137,13.0,1.0,120,120,1199,52,208,13,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c40/fc_512_128
0.2,0.6,1024x256,fc_512_128,29,39,1,1,1,4391,174,39,47,29,43,bram,115.696,129.6137,25.886,0.8926,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c60/fc_512_128
0.4,0.0,1024x256,fc_512_128,26,26,1,1,1,10978,145,26,117,29,36,dpe,117.6023,129.6137,23.5906,0.9073,120,120,2402,104,416,26,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d40_c0/fc_512_128
0.4,0.2,1024x256,fc_512_128,26,26,1,1,1,8782,145,26,94,29,36,dpe,117.6023,129.6137,23.5906,0.9073,120,120,2402,104,416,26,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d40_c20/fc_512_128
0.4,0.4,1024x256,fc_512_128,26,26,1,1,1,6586,145,26,70,29,36,dpe,117.6023,129.6137,23.5906,0.9073,120,120,2402,104,416,26,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d40_c40/fc_512_128
0.4,0.6,1024x256,fc_512_128,29,52,1,1,1,4391,145,52,47,29,36,bram,118.7497,129.6137,26.5693,0.9162,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d40_c60/fc_512_128
0.6,0.0,1024x256,fc_512_128,21,52,1,1,1,10978,87,52,117,29,21,dsp,134.694,129.6137,21.8231,1.0392,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d60_c0/fc_512_128
0.6,0.2,1024x256,fc_512_128,21,52,1,1,1,8782,87,52,94,29,21,dsp,134.694,129.6137,21.8231,1.0392,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d60_c20/fc_512_128
0.6,0.4,1024x256,fc_512_128,21,52,1,1,1,6586,87,52,70,29,21,dsp,134.694,129.6137,21.8231,1.0392,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d60_c40/fc_512_128
0.6,0.6,1024x256,fc_512_128,21,65,1,1,1,4391,87,65,47,29,21,dsp,132.648,129.6137,21.4916,1.0234,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d60_c60/fc_512_128
0.8,0.0,1024x256,fc_512_128,14,65,1,1,1,10978,58,65,117,29,14,dsp,134.0813,129.6137,14.4826,1.0345,120,120,1304,56,224,14,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d80_c0/fc_512_128
0.8,0.2,1024x256,fc_512_128,14,65,1,1,1,8782,58,65,94,29,14,dsp,134.0813,129.6137,14.4826,1.0345,120,120,1304,56,224,14,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d80_c20/fc_512_128
0.8,0.4,1024x256,fc_512_128,14,65,1,1,1,6586,58,65,70,29,14,dsp,134.0813,129.6137,14.4826,1.0345,120,120,1304,56,224,14,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d80_c40/fc_512_128
0.8,0.6,1024x256,fc_512_128,14,65,1,1,1,4391,58,65,47,29,14,dsp,134.0813,129.6137,14.4826,1.0345,120,120,1304,56,224,14,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d80_c60/fc_512_128
0.2,0.0,1024x256,fc_512_512,6,13,1,2,2,10978,174,6,117,29,43,dpe,138.0293,138.0293,6.0,1.0,120,120,580,24,96,12,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c0/fc_512_512
0.2,0.2,1024x256,fc_512_512,6,13,1,2,2,8782,174,6,94,29,43,dpe,138.0293,138.0293,6.0,1.0,120,120,580,24,96,12,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/1024x256/d20_c20/fc_512_512
